Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
E7ENH5;A6PVH9;F2Z2V0;Q99829;B0QZ18;Q5JX56;Q5JX58;Q5JX59;Q5JX60;Q5JX44;Q5JX45;Q5JX55;H0Y524;Q5JX61;Q5JX52	E7ENH5;A6PVH9;F2Z2V0;Q99829;B0QZ18;Q5JX56;Q5JX58;Q5JX59;Q5JX60;Q5JX44;Q5JX45	3;3;3;3;3;2;2;2;2;2;2;1;1;1;1	3;3;3;3;3;2;2;2;2;2;2;1;1;1;1	3;3;3;3;3;2;2;2;2;2;2;1;1;1;1	Copine-1 ;Copine-1 ;Copine-1 (Fragment) ;Copine-1 ;Copine-1 ;Copine-1 (Fragment) ;Copine-1 (Fragment) ;Copine-1 (Fragment) ;Copine-1 (Fragment) ;Copine-1 (Fragment) ;Copine-1 (Fragment) 	15	3	3	3	8	8	8	47.174	427	427;481;533;537;542;174;201;209;231;304;386;152;208;213;305	0	20.703	17221000	4				36	9703;11804;15279	True;True;True	9924;12138;15700	16489;20095;20096;25971	18777;22816;22817;29562	18777;22816;29562		
Q15257-3;Q15257-2;A6PVN5;Q15257;B4DZF8;A6PVN9;Q68CR8;A6PVN6;Q5T949;Q5T948;Q15257-4;B7ZBP9;B7ZBQ0;A6PVN7;B7ZBP7;A6PVN8;C9IZ76;B4DDQ6;H0Y6E5	Q15257-3;Q15257-2;A6PVN5;Q15257;B4DZF8;A6PVN9;Q68CR8;A6PVN6;Q5T949;Q5T948;Q15257-4	5;5;5;5;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2	5;5;5;5;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2	5;5;5;5;5;4;3;3;3;3;3;2;2;2;2;2;2;2;2	Isoform 3 of Serine/threonine-protein phosphatase 2A activator ;Isoform 1 of Serine/threonine-protein phosphatase 2A activator ;Serine/threonine-protein phosphatase 2A activator ;Serine/threonine-protein phosphatase 2A activator ;Serine/threonine-protein p	19	5	5	5	21.4	21.4	21.4	33.467	294	294;323;329;358;374;263;104;176;250;253;281;41;61;64;77;129;132;151;218	0	29.852	22956000	3				37	7143;9484;13133;14858;15422	True;True;True;True;True	7307;9702;13500;15275;15848	12142;16115;22290;25272;26215	13892;18353;25331;28767;29828	13892;18353;25331;28767;29828		
P55196-2;P55196-6;Q5TIG5;P55196-3;C9JX92;P55196-1;P55196;A8MQ02;J3KN01;P55196-5;F8W9I4;E9PFY5;H0Y7R8	P55196-2;P55196-6;Q5TIG5;P55196-3;C9JX92;P55196-1;P55196;A8MQ02;J3KN01;P55196-5	4;4;4;4;4;4;4;4;4;4;1;1;1	4;4;4;4;4;4;4;4;4;4;1;1;1	4;4;4;4;4;4;4;4;4;4;1;1;1	Isoform 1 of Afadin ;Isoform 6 of Afadin ;Afadin ;Isoform 3 of Afadin ;Afadin ;Isoform 2 of Afadin ;Afadin ;Afadin ;Afadin ;Isoform 5 of Afadin 	13	4	4	4	2.9	2.9	2.9	182	1612	1612;1651;1665;1743;1743;1816;1824;1824;1831;1834;247;250;389	0	25.09	18067000	4				38	2872;3155;7649;16044	True;True;True;True	2938;3224;7821;16481	4889;5355;5356;13080;27246	5566;6105;6106;14920;30970	5566;6106;14920;30970		
A8MQB8;G3V0J0;Q06787-2;F8W871;Q06787-8;Q06787-6;Q06787-4;G8JL90;Q06787-7;G8JLE9;Q06787-5;Q06787-3;Q06787	A8MQB8;G3V0J0;Q06787-2;F8W871;Q06787-8;Q06787-6;Q06787-4;G8JL90;Q06787-7	3;3;3;2;2;2;2;2;2;1;1;1;1	3;3;3;2;2;2;2;2;2;1;1;1;1	3;3;3;2;2;2;2;2;2;1;1;1;1	Fragile X mental retardation protein 1 ;Fragile X mental retardation 1, isoform CRA_e ;Isoform 1 of Fragile X mental retardation protein 1 ;Fragile X mental retardation protein 1 ;Isoform 8 of Fragile X mental retardation protein 1 ;Isoform 5 of Fragile X 	13	3	3	3	5.8	5.8	5.8	65.821	582	582;592;594;262;586;590;603;611;615;537;607;620;632	0	21.699	17044000	4				39	5020;8443;13649	True;True;True	5126;8632;14029	8453;14396;23178;23179	9633;16411;26336;26337	9633;16411;26337		
A8MT72;Q16799-3;Q16799-2;Q16799	A8MT72;Q16799-3;Q16799-2;Q16799	1;1;1;1	1;1;1;1	1;1;1;1	Reticulon ;Isoform RTN1-C of Reticulon-1 ;Isoform RTN1-B of Reticulon-1 ;Reticulon-1 	4	1	1	1	4.1	4.1	4.1	21.862	193	193;208;356;776	0.0036446	6.3403	24202000	2				40	12740	True	13095	21625;21626	24558;24559	24558		
A8MTP9;Q9Y2R4;K7EMK0	A8MTP9;Q9Y2R4;K7EMK0	2;2;1	2;2;1	2;2;1	Probable ATP-dependent RNA helicase DDX52 ;Probable ATP-dependent RNA helicase DDX52 ;Probable ATP-dependent RNA helicase DDX52 (Fragment) 	3	2	2	2	4.5	4.5	4.5	55.217	491	491;599;115	0	13.224	15059000	1				41	741;6720	True;True	758;6872	1253;11394	1426;13031	1426;13031		
C9J256;C9JPA1;C9JYV0;Q9NVD3-2;C9JIU9;C9JWV5;A8MTS1;Q9NVD3-4;Q9NVD3-3;Q9NVD3	C9J256;C9JPA1;C9JYV0;Q9NVD3-2;C9JIU9;C9JWV5;A8MTS1;Q9NVD3-4;Q9NVD3-3;Q9NVD3	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	SET domain-containing protein 4 (Fragment) ;SET domain-containing protein 4 (Fragment) ;SET domain-containing protein 4 (Fragment) ;Isoform B of SET domain-containing protein 4 ;SET domain-containing protein 4 (Fragment) ;SET domain-containing protein 4 (F	10	1	1	1	11.9	11.9	11.9	7.5836	67	67;70;124;129;225;231;283;307;416;440	0.0053452	6.1477	4000800	1				42	11848	True	12183	20168	22898	22898		
A8MV53;Q9NQ55-2;Q9NQ55;Q9NQ55-3;C9JHF7;H7C446;C9J3W3	A8MV53;Q9NQ55-2;Q9NQ55;Q9NQ55-3;C9JHF7;H7C446;C9J3W3	2;2;2;2;1;1;1	2;2;2;2;1;1;1	2;2;2;2;1;1;1	HCG2033702, isoform CRA_a ;Isoform 2 of Suppressor of SWI4 1 homolog ;Suppressor of SWI4 1 homolog ;Isoform 3 of Suppressor of SWI4 1 homolog ;Suppressor of SWI4 1 homolog (Fragment) ;Suppressor of SWI4 1 homolog (Fragment) ;Suppressor of SWI4 1 homolog (F	7	2	2	2	4.5	4.5	4.5	47.144	420	420;460;473;520;97;208;210	0	11.857	16769000	3				43	9012;10233	True;True	9215;10529	15336;17464;17465	17486;19881;19882	17486;19881		
P49589-2;A8MVQ3;B4DKY1;P49589;P49589-3	P49589-2;A8MVQ3;B4DKY1;P49589;P49589-3	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Isoform 2 of Cysteine--tRNA ligase, cytoplasmic ;Cysteine--tRNA ligase, cytoplasmic ;Cysteine--tRNA ligase, cytoplasmic ;Cysteine--tRNA ligase, cytoplasmic ;Isoform 3 of Cysteine--tRNA ligase, cytoplasmic 	5	2	2	2	3.3	3.3	3.3	82.845	726	726;738;739;748;831	0	10.959	5572000	1				44	3977;15012	True;True	4061;15429	6675;25523	7586;29054	7586;29054		
O43660-2;O43660;A8MW61;H0YA24;B7Z982;D6RA26	O43660-2;O43660;A8MW61	5;5;5;2;1;1	5;5;5;2;1;1	5;5;5;2;1;1	Isoform 2 of Pleiotropic regulator 1 ;Pleiotropic regulator 1 ;Pleiotropic regulator 1 	6	5	5	5	13.1	13.1	13.1	56.289	505	505;514;514;156;131;212	0	30.172	42566000	4				45	5100;6983;9286;9654;14344	True;True;True;True;True	5208;7142;9496;9875;14742	8581;11842;15772;16415;24387	9781;13555;17963;18698;27764	9781;13555;17963;18698;27764		
P62308;A8MWD9;Q49AN9;F5H013;C9JVQ0	P62308;A8MWD9;Q49AN9;F5H013;C9JVQ0	3;3;2;2;2	3;3;2;2;2	3;3;2;2;2	Small nuclear ribonucleoprotein G ;Putative small nuclear ribonucleoprotein G-like protein 15 ;SNRPG protein ;Small nuclear ribonucleoprotein G ;Small nuclear ribonucleoprotein G 	5	3	3	3	36.8	36.8	36.8	8.496	76	76;76;64;68;96	0	21.247	282010000	9				46	644;5048;5724	True;True;True	659;5154;5155;5843	1086;1087;8496;8497;8498;8499;9690;9691	1233;1234;9682;9683;9684;9685;9686;11030;11031	1233;9683;11031	0	69
A8MWK3;P19022	A8MWK3;P19022	1;1	1;1	1;1	Cadherin-2 ;Cadherin-2 	2	1	1	1	3	3	3	97.039	875	875;906	0.00050352	8.005	31866000	2				47	3619	True	3697	6094;6095	6916;6917	6916		
P43243;A8MXP9;D6REM6;D6R991;H0Y8T4;B3KM87;P43243-2;D6RBK5;D6RAM9;D6RAY2;D6R8Z5;D6RBI2;D6RE02;D6RIA2;D6RB45;D6RGW7;D6R9F3;D6RBS2;D6RCM3;D6REK4	P43243;A8MXP9;D6REM6;D6R991	27;27;25;16;13;13;13;3;2;2;2;2;2;2;1;1;1;1;1;1	27;27;25;16;13;13;13;3;2;2;2;2;2;2;1;1;1;1;1;1	27;27;25;16;13;13;13;3;2;2;2;2;2;2;1;1;1;1;1;1	Matrin-3 ;Matrin-3 ;Matrin-3 ;Matrin-3 (Fragment) 	20	27	27	27	38.4	38.4	38.4	94.622	847	847;895;794;433;334;509;559;121;81;86;107;109;124;172;47;77;78;87;99;100	0	251.7	1416100000	48				48	1046;1887;2119;2210;2348;2683;3694;3698;4418;4467;5042;5074;5085;6118;6837;7081;7697;7874;11630;11740;12455;12467;12964;13002;14079;14416;15214	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1071;1931;2167;2260;2405;2746;3774;3778;4512;4561;5148;5181;5193;6246;6991;7241;7869;8051;11959;12072;12807;12819;13324;13365;14471;14816;15633	1770;1771;3206;3588;3743;3990;3991;4551;6224;6225;6226;6231;7374;7375;7463;7464;7465;8488;8489;8540;8557;8558;8559;10356;10357;11600;11601;12019;13156;13466;19810;19811;19994;21169;21186;21187;21188;22000;22001;22067;23931;24527;24528;24529;25856;25857;25858	2045;2046;3674;4099;4272;4566;4567;5192;7068;7069;7070;7076;8382;8383;8384;8385;8485;8486;8487;8488;9673;9674;9733;9752;9753;9754;9755;11803;11804;11805;13285;13286;13287;13751;15004;15359;22512;22513;22708;24051;24070;24071;24072;24991;24992;25070;27226;27922;27923;27924;29428;29429;29430	2045;3674;4099;4272;4566;5192;7069;7076;8384;8487;9673;9733;9755;11805;13287;13751;15004;15359;22512;22708;24051;24070;24991;25070;27226;27923;29428	1	38
A8MZF9;P55039;J3KRL5;J3QKW7	A8MZF9;P55039;J3KRL5;J3QKW7	2;2;1;1	2;2;1;1	2;2;1;1	Developmentally-regulated GTP-binding protein 2 ;Developmentally-regulated GTP-binding protein 2 ;Developmentally-regulated GTP-binding protein 2 (Fragment) ;Developmentally-regulated GTP-binding protein 2 	4	2	2	2	6.7	6.7	6.7	38.129	343	343;364;113;244	0	11.634	5513900	1				49	9604;12242	True;True	9822;12589	16322;20823	18584;23656	18584;23656		
F8WBU8;A9UJP8;E7ES35;Q5R3I4	F8WBU8;A9UJP8;E7ES35;Q5R3I4	1;1;1;1	1;1;1;1	1;1;1;1	Tetratricopeptide repeat protein 38 ;Tetratricopeptide repeat protein 38 (Fragment) ;Tetratricopeptide repeat protein 38 ;Tetratricopeptide repeat protein 38 	4	1	1	1	22.6	22.6	22.6	5.7533	53	53;263;411;469	0.0079086	6.0026	0	1				50	9030	True	9234	15362	17521	17521		
Q8IYB3-2;Q8IYB3;A9Z1X7;E9PCT1;M0R088;M0R1E7;M0QXG5;B4DED5	Q8IYB3-2;Q8IYB3;A9Z1X7;E9PCT1;M0R088	4;4;4;4;3;1;1;1	4;4;4;4;3;1;1;1	4;4;4;4;3;1;1;1	Isoform 2 of Serine/arginine repetitive matrix protein 1 ;Serine/arginine repetitive matrix protein 1 ;Serine/arginine repetitive matrix protein 1 ;Serine/arginine repetitive matrix protein 1 ;Serine/arginine repetitive matrix protein 1 (Fragment) 	8	4	4	4	8.1	8.1	8.1	102.12	902	902;904;913;916;681;79;101;318	0	32	70834000	6				51	1476;9769;14484;14841	True;True;True;True	1509;9991;14890;15258	2524;2525;16592;24655;25243;25244	2901;2902;18893;28066;28734;28735	2902;18893;28066;28735		
Q9Y262;B0QY89;Q9Y262-2;B0QY90;C9JHP4;C9K0Q7;H7C3A0	Q9Y262;B0QY89;Q9Y262-2;B0QY90	17;17;16;12;6;6;4	17;17;16;12;6;6;4	17;17;16;12;6;6;4	Eukaryotic translation initiation factor 3 subunit L ;Eukaryotic translation initiation factor 3 subunit L ;Isoform 2 of Eukaryotic translation initiation factor 3 subunit L ;Eukaryotic translation initiation factor 3 subunit L 	7	17	17	17	33.3	33.3	33.3	66.726	564	564;607;516;466;150;183;127	0	149.66	499100000	29				52	4001;4493;5897;6664;7521;7722;8348;9761;10451;11841;13791;14226;14569;15018;15047;15334;15335	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	4086;4587;6020;6815;7690;7894;8536;9983;10756;12176;14175;14621;14976;15435;15464;15757;15758	6712;6713;7509;7510;9986;11311;11312;12834;13194;13195;14245;14246;16582;17857;17858;20155;23421;24188;24189;24190;24191;24796;24797;24798;25534;25535;25577;25578;26070;26071;26072;26073	7626;7627;8542;8543;11366;12942;12943;12944;14657;15044;15045;16233;16234;18883;20333;20334;22885;26627;27529;27530;27531;27532;28222;28223;28224;29074;29075;29118;29119;29671;29672;29673;29674;29675	7626;8543;11366;12943;14657;15044;16233;18883;20333;22885;26627;27529;28224;29075;29118;29671;29674		
Q01844-6;B0QYK0;Q01844-3;Q01844;Q01844-5;Q01844-2;C9JGE3;H7BY36;Q01844-4	Q01844-6;B0QYK0;Q01844-3;Q01844;Q01844-5;Q01844-2;C9JGE3;H7BY36	6;6;6;6;6;5;5;4;1	6;6;6;6;6;5;5;4;1	6;6;6;6;6;5;5;4;1	Isoform 6 of RNA-binding protein EWS ;RNA-binding protein EWS ;Isoform 3 of RNA-binding protein EWS ;RNA-binding protein EWS ;Isoform 5 of RNA-binding protein EWS ;Isoform EWS-B of RNA-binding protein EWS ;Ewing sarcoma breakpoint region 1, isoform CRA_e ;	9	6	6	6	17.5	17.5	17.5	62.507	600	600;618;655;656;661;583;583;308;354	0	53.348	223910000	12				53	206;537;4471;4690;11122;13142	True;True;True;True;True;True	207;549;4565;4789;11443;13509	342;343;344;904;7471;7472;7856;7857;18979;22308	381;382;383;384;1020;8494;8495;8496;8966;8967;21612;25353	383;1020;8496;8967;21612;25353		
H3BPC4;H3BQQ9;P63279;B0QYN7	H3BPC4;H3BQQ9;P63279;B0QYN7	4;4;4;4	4;4;4;4	4;4;4;4	SUMO-conjugating enzyme UBC9 (Fragment) ;SUMO-conjugating enzyme UBC9 (Fragment) ;SUMO-conjugating enzyme UBC9 ;SUMO-conjugating enzyme UBC9 	4	4	4	4	78.6	78.6	78.6	7.8891	70	70;137;158;184	0	29.906	90526000	5				54	5264;7115;10055;10749	True;True;True;True	5373;7278;10318;11060	8844;12085;17127;17128;18365	10065;10066;13825;19501;19502;20922	10065;13825;19502;20922		
B0QZ36;E9PPG9;P78406;E9PQ57	B0QZ36;E9PPG9;P78406;E9PQ57	1;1;1;1	1;1;1;1	1;1;1;1	mRNA export factor (Fragment) ;mRNA export factor ;mRNA export factor ;mRNA export factor 	4	1	1	1	14.6	14.6	14.6	14.726	137	137;217;368;437	0.0005144	9.0509	7523500	1				55	10297	True	10597	17583	20008	20008		
B1AH87;P30536	B1AH87;P30536	2;2	2;2	2;2	Putative peripheral benzodiazepine receptor-related protein (Fragment) ;Translocator protein 	2	2	2	2	15	15	15	11.896	107	107;169	0	11.735	14157000	2				56	3077;4262	True;True	3146;4353	5226;7112	5960;8083	5960;8083		
P55769;B1AHD1	P55769;B1AHD1	6;6	6;6	6;6	NHP2-like protein 1 ;NHP2-like protein 1 	2	6	6	6	46.9	46.9	46.9	14.173	128	128;132	0	54.902	186560000	8				57	239;1680;7385;8599;10969;11290	True;True;True;True;True;True	240;1718;7553;8791;11287;11613	396;397;2859;12597;14668;18743;19233;19234	452;453;3285;14406;16720;16721;21354;21887;21888	453;3285;14406;16721;21354;21887		
B1AJY5;B1AJY7;O75832;B1AJY6;O75832-2	B1AJY5;B1AJY7;O75832	6;6;6;1;1	6;6;6;1;1	6;6;6;1;1	26S proteasome non-ATPase regulatory subunit 10 ;26S proteasome non-ATPase regulatory subunit 10 ;26S proteasome non-ATPase regulatory subunit 10 	5	6	6	6	42.7	42.7	42.7	20.217	185	185;193;226;110;151	0	43.307	132490000	8				58	1369;2002;4680;8843;9987;13518	True;True;True;True;True;True	1400;2049;4779;9038;10240;13898	2323;2324;3397;3398;7841;15068;16987;22979	2666;2667;3886;3887;8948;17187;19341;26123	2667;3886;8948;17187;19341;26123		
B1AKD8;Q5TZA2-2;Q5TZA2	B1AKD8;Q5TZA2-2;Q5TZA2	1;1;1	1;1;1	1;1;1	Rootletin (Fragment) ;Isoform 2 of Rootletin ;Rootletin 	3	1	1	1	0.6	0.6	0.6	149.06	1311	1311;1313;2017	0.0079017	6.0002	39700000	2				59	7754	True	7926	13237;13238	15089;15090	15089		
G3V1R5;O43847;O43847-2;B1AKJ5;H0Y5G9;F5H7V1	G3V1R5;O43847;O43847-2;B1AKJ5;H0Y5G9	3;3;3;3;2;1	3;3;3;3;2;1	3;3;3;3;2;1	Nardilysin ;Nardilysin ;Isoform 2 of Nardilysin ;Nardilysin ;Nardilysin (Fragment) 	6	3	3	3	3.1	3.1	3.1	125.12	1087	1087;1150;1218;1219;538;747	0	20.712	11239000	3				60	451;514;7732	True;True;True	460;524;7904	763;857;13210	854;960;15062	854;960;15062		
Q96SU4-5;Q96SU4-4;Q96SU4-3;E9PJW9;Q96SU4-7;Q96SU4-2;Q96SU4;B1AKJ6;Q96SU4-6;J3KPA3	Q96SU4-5;Q96SU4-4;Q96SU4-3;E9PJW9;Q96SU4-7;Q96SU4-2;Q96SU4;B1AKJ6;Q96SU4-6;J3KPA3	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Isoform 5 of Oxysterol-binding protein-related protein 9 ;Isoform 4 of Oxysterol-binding protein-related protein 9 ;Isoform 3 of Oxysterol-binding protein-related protein 9 ;Oxysterol-binding protein ;Isoform 7 of Oxysterol-binding protein-related protein 	10	1	1	1	1.8	1.8	1.8	62.528	558	558;571;626;655;719;723;736;741;746;754	0.003214	6.4001	2052400	1				61	15239	True	15658	25904	29489	29489		
Q8N983-4;Q8N983-3;H0Y6Y8;B1AL05;Q8N983-2;Q8N983;Q8N983-6;Q8N983-7;H0YBU8;M0R051	Q8N983-4;Q8N983-3;H0Y6Y8;B1AL05;Q8N983-2;Q8N983;Q8N983-6;Q8N983-7;H0YBU8	3;3;3;3;3;3;3;3;2;1	3;3;3;3;3;3;3;3;2;1	3;3;3;3;3;3;3;3;2;1	Isoform 4 of 39S ribosomal protein L43, mitochondrial ;Isoform 3 of 39S ribosomal protein L43, mitochondrial ;39S ribosomal protein L43, mitochondrial (Fragment) ;39S ribosomal protein L43, mitochondrial ;Isoform 2 of 39S ribosomal protein L43, mitochondri	10	3	3	3	18.2	18.2	18.2	17.853	159	159;164;169;184;202;215;235;261;148;44	0	19.351	25770000	2				62	7680;12698;16053	True;True;True	7852;13051;16490	13133;13134;21562;27263;27264	14981;14982;24493;30987;30988	14982;24493;30987		
Q9NRZ9-9;B1ALG6;Q9NRZ9-8;Q9NRZ9-7;Q9NRZ9-6;Q9NRZ9-5;Q9NRZ9-4;Q9NRZ9-3;Q9NRZ9-2;Q9NRZ9	Q9NRZ9-9;B1ALG6;Q9NRZ9-8;Q9NRZ9-7;Q9NRZ9-6;Q9NRZ9-5;Q9NRZ9-4;Q9NRZ9-3;Q9NRZ9-2;Q9NRZ9	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Isoform 9 of Lymphoid-specific helicase ;Lymphoid-specific helicase (Fragment) ;Isoform 8 of Lymphoid-specific helicase ;Isoform 7 of Lymphoid-specific helicase ;Isoform 6 of Lymphoid-specific helicase ;Isoform 5 of Lymphoid-specific helicase ;Isoform 4 of	10	1	1	1	7.8	7.8	7.8	14.838	129	129;192;315;345;708;740;782;806;822;838	0.0004902	7.2933	5903400	2				63	9881	True	10118	16785;16786	19109;19110	19110		
R4GNH9;R4GMQ7;B1AMU7;B1AMU3;B1AMU4;Q9Y3B2	R4GNH9;R4GMQ7;B1AMU7;B1AMU3;B1AMU4;Q9Y3B2	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Exosome complex component CSL4 ;Exosome complex component CSL4 (Fragment) ;Exosome complex component CSL4 (Fragment) ;Exosome complex component CSL4 ;Exosome complex component CSL4 ;Exosome complex component CSL4 	6	1	1	1	11.5	11.5	11.5	15.105	139	139;143;165;170;178;195	0.00050607	8.1065	17329000	2				64	7869	True	8046	13459;13460	15352;15353	15353		
Q16774;B1ANH5;B1ANH0;Q16774-2;B1ANG9;Q16774-3;B1ANH6;B1ANH2;B1ANH3	Q16774;B1ANH5;B1ANH0;Q16774-2;B1ANG9;Q16774-3;B1ANH6;B1ANH2;B1ANH3	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Guanylate kinase ;Guanylate kinase ;Guanylate kinase (Fragment) ;Isoform 2 of Guanylate kinase ;Guanylate kinase ;Isoform 3 of Guanylate kinase ;Guanylate kinase ;Guanylate kinase (Fragment) ;Guanylate kinase (Fragment) 	9	1	1	1	5.6	5.6	5.6	21.725	197	197;199;217;218;218;241;242;253;272	0.00048473	6.979	0	1				65	14005	True	14396	23800	27078	27078		
B1ANM7;Q9UNN5-2;Q9UNN5	B1ANM7;Q9UNN5-2;Q9UNN5	1;1;1	1;1;1	1;1;1	FAS-associated factor 1 ;Isoform Short of FAS-associated factor 1 ;FAS-associated factor 1 	3	1	1	1	2.2	2.2	2.2	55.998	490	490;498;650	0.0014052	6.5691	3334300	1				66	13103	True	13470	22246	25280	25280		
B1ANR0;Q13310-2;Q13310;Q13310-3;H0Y5F5;H0YEU6;B1ANR1;H0YEQ8;H0Y6X6;H0YCC8	B1ANR0;Q13310-2;Q13310;Q13310-3;H0Y5F5	15;15;15;15;10;7;6;3;1;1	6;6;6;6;5;4;1;0;1;0	6;6;6;6;5;4;1;0;1;0	Poly(A) binding protein, cytoplasmic 4 (Inducible form), isoform CRA_e ;Isoform 2 of Polyadenylate-binding protein 4 ;Polyadenylate-binding protein 4 ;Isoform 3 of Polyadenylate-binding protein 4 ;Polyadenylate-binding protein 4 (Fragment) 	10	15	6	6	25.9	11.1	11.1	67.97	615	615;631;644;660;550;249;129;112;195;197	0	40.012	110310000	6				67	774;847;1048;1605;2766;4174;4588;6542;6922;7169;8098;11622;12140;12220;14785	False;False;False;False;True;True;False;False;True;True;True;False;False;False;True	794;869;870;1073;1641;2830;4264;4686;6690;7081;7333;8279;11951;12486;12567;15197	1323;1324;1325;1326;1443;1444;1445;1773;1774;2737;2738;4704;6978;7681;7682;11100;11101;11740;12185;13820;13821;19799;19800;20663;20664;20780;20781;25147	1512;1513;1514;1515;1516;1646;1647;1648;1649;1650;2048;2049;3151;3152;5354;7926;8748;8749;8750;12693;12694;13444;13942;15760;15761;22501;22502;23475;23476;23477;23607;23608;23609;28618	1513;1648;2049;3151;5354;7926;8749;12693;13444;13942;15761;22501;23477;23607;28618	2	72
D6RCR1;B1ANS9-2;B1ANS9	D6RCR1;B1ANS9-2;B1ANS9	1;1;1	1;1;1	1;1;1	WD repeat-containing protein 64 ;Isoform 2 of WD repeat-containing protein 64 ;WD repeat-containing protein 64 	3	1	1	1	1.3	1.3	1.3	60.443	528	528;914;1081	0.0099957	5.9328	101360000	2				68	6416	True	6554	10882;10883	12443;12444	12443		
S4R2X5;E7EP42;E9PB91;B1APJ0;O14925;Q5SRD1	S4R2X5;E7EP42;E9PB91;B1APJ0;O14925;Q5SRD1	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Putative mitochondrial import inner membrane translocase subunit Tim23B ;Putative mitochondrial import inner membrane translocase subunit Tim23B ;Mitochondrial import inner membrane translocase subunit Tim23 ;Mitochondrial import inner membrane translocase	6	1	1	1	14.4	14.4	14.4	12.263	118	118;123;161;172;209;257	0	10.468	7202800	1				69	15865	True	16297	26959	30636	30636		
B1APM4;P35610-3;P35610-2;P35610	B1APM4;P35610-3;P35610-2;P35610	1;1;1;1	1;1;1;1	1;1;1;1	Sterol O-acyltransferase 1 (Fragment) ;Isoform 3 of Sterol O-acyltransferase 1 ;Isoform 2 of Sterol O-acyltransferase 1 ;Sterol O-acyltransferase 1 	4	1	1	1	6.2	6.2	6.2	29.892	260	260;485;492;550	0.0005	7.836	13531000	1				70	3478	True	3555	5886;5887	6690;6691	6691		
P07602;P07602-2;C9JIZ6;P07602-3;B1AVU8	P07602;P07602-2;C9JIZ6;P07602-3;B1AVU8	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Prosaposin ;Isoform Sap-mu-6 of Prosaposin ;Prosaposin ;Isoform Sap-mu-9 of Prosaposin ;Saposin-D 	5	2	2	2	5	5	5	58.112	524	524;526;526;527;559	0	19.375	110600000	4				71	2975;4462	True;True	3043;4556	5066;7455;7456	5777;8475;8476;8477	5777;8477		
Q16881-7;E9PIR7;B2R5P6;Q16881-5;E2QRB9;Q16881-2;B7Z2S5;Q16881-4;E9PNQ6;E7ESI6;Q16881-3;E7EW10;Q16881-6;Q16881;E9PKD3;E9PLT3;E9PKI4;E9PIZ5;E7EWK1;F5H1L4;E7ENA2;Q9NNW7-2;D3YTF8;F5H2V0;D3YTF9;Q9NNW7	Q16881-7;E9PIR7;B2R5P6;Q16881-5;E2QRB9;Q16881-2;B7Z2S5;Q16881-4;E9PNQ6;E7ESI6;Q16881-3;E7EW10;Q16881-6;Q16881	5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1;1;1;1;1;1;1	5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1;1;1;1;1;1;1	5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1;1;1;1;1;1;1	Isoform 7 of Thioredoxin reductase 1, cytoplasmic ;Thioredoxin reductase 1, cytoplasmic ;Thioredoxin reductase 1, cytoplasmic ;Isoform 5 of Thioredoxin reductase 1, cytoplasmic ;Thioredoxin reductase 1, cytoplasmic ;Isoform 2 of Thioredoxin reductase 1, cy	26	5	5	5	15	15	15	50.873	461	461;482;497;499;541;543;547;551;568;581;598;612;614;649;175;70;72;139;338;492;494;498;499;521;523;524	0	40.293	47085000	6				72	3956;6076;6190;15210;15415	True;True;True;True;True	4039;6202;6320;15629;15840	6640;6641;10279;10489;25851;26204	7540;7541;11698;11962;29423;29817	7540;11698;11962;29423;29817		
